"text","label"
"Brenda sang a song. She sang the song while she walked to school. The name of the song was ""Row, Row, Row Your Boat."" Brenda liked to sing this song. It was her favorite song to sing. She sang it every day while she walked to school. Sometimes she sang it with her best friend. Sometimes her best friend walked to school with Brenda. Then they both sang the song together. Brenda liked the song because it was easy to remember the words. ""Row, row, row your boat"" are easy words to remember.","A1"
"It was summer. Swim classes were beginning. She didn't know how to swim. She wanted to learn. She called up the pool. ""Do you teach adults how to swim?"" she asked. The instructor said, ""Yes, we teach adults how to swim. We teach kids how to swim. We teach everyone how to swim."" She asked how much. ""How much do you charge?"" she asked. ""We charge only $25 for adults,"" the instructor said. She gave him her name. He put her name on the swim class list. ""You are on the swim class list,"" he said. ""Your first lesson is Saturday at noon. Bring $25 and a towel."" She asked, ""That's all I need to bring?"" He said, ""I'm sorry. Bring your swimsuit, too.""","A1"
"Michelle felt the earthquake. It lasted for only five seconds. The whole house shook. She heard noise. The TV went off. The lights went off. She was scared. She had never felt an earthquake. It was very strong. It was as if a giant hand had shaken her house. The lights came back on. Michelle turned the TV on. The TV had no news about the earthquake. She turned on the radio. The radio said it was a 4.7 earthquake. But there was no damage. No one was hurt. Everyone was okay. No houses had damage. Everything was okay. But Michelle was still scared. She wanted to move far away. She did not like earthquakes. They were so scary.","A1"
"Maria is 18. She will go to college in September. She will be a college student in September. But right now it is summer time. It is June. Maria needs a job. She needs money for college. She needs money to buy books for college. She wants a job. Maria went to a restaurant. ""Can I have a job?"" she asked. The restaurant manager said, ""I'm sorry. I don't need anyone right now."" Maria went to a book store. ""Will you give me a job?"" she asked. The book store manager said, ""I'm sorry. I don't need new workers right now.""","A1"
"Randy went to the bank. He needed money from the bank. The bank has all of Randy's money. The bank keeps Randy's money safe. Randy cannot keep his money at home. Someone might steal his money. He can't hide his money in his back yard. A dog might find his money and eat it. He can't hide his money in a tree. A bird might fly away with his money. Some people hide their money under their bed. Some people hide their money in their refrigerator. But that is not safe. Someone will look under the bed or in the refrigerator. The best place for people to keep money is in the bank.","A1"
"Good morning. How are you today?
I'm fantastic. How about yourself?
That's great! I'm good, but I feel a little sick.
That's not good. I heard there is a flu going around.
Well, I have to be sure to take good care of myself.
Sucks that you aren't feeling well, it's a nice day.
It is. The sunshine makes me want to go to the beach.
That's a great idea, but I think you'll get sicker if you go.
True. Perhaps we can go some other time?
For sure. Let's get together next week and go if you're better.
Sounds like a plan. I'll talk to you later.
Cool, see you later.","A1"
"From: Arina Marat, HR Assistant
To: Jane Claret
Subject: Your appointment on 14 March
Dear Ms Claret,
Thank you for your email.
I am writing to confirm your appointment with our HR manager, Mrs Sofia Aronov.
Your appointment will take place at 3 p.m. on Thursday 14 March at our Astana offices in Emerald Towers. 
When you arrive, please go to the reception on the 26th floor and ask for me. I will take you to Mrs Aronov's office. 
We look forward to meeting you soon.
Best regards,
Arina Marat
HR Assistant","A1"
"Pat looked at the washer. The washer had dials on it. It had two dials on it. There were words next to each dial. Each dial had three words next to it. The words next to one dial were Small, Medium, and Large. This dial was for the size of the load. Did Pat have a small load, a medium load, or a large load? The words next to the other dial were Cold, Warm, and Hot. Did Pat want to wash her clothes in cold water, warm water, or hot water? Pat turned one dial to Large, and the other dial to Hot. Then she pushed the Start button on the washer.","A1"
"	
Maria, dear. Can you come here?
What is it, mommy?
I want you to pick some lemons.
From the backyard tree?
Yes, dear. I'm making lemonade.
Yummy. I can reach four, I think.
That should be enough, dear.
Okay, mommy.","A1"
"
Let's go to the playground, Kimberly.
Okay, Lisa. Let's go.
Look at all the rides.
I want to go on the swing.
We can go on the slide after that.
And the merry-go-round, too!
Yes. I love the merry-go-round.
That's perfect! Let's play.","A1"
"Look at that guy, Donald.
What guy, Dorothy?
The one with his head down.
He is looking at his cell phone.
I know, but he didn't see that car.
What car?
A car almost hit him.
Wow. We should always pay attention.","A1"
"Alex wanted to become a citizen. He signed up for a citizenship class. He went to the first class. The teacher spoke only Spanish. All the other students spoke only Spanish. Alex spoke Spanish, too. He asked the teacher, ""Why are you speaking Spanish? We need to speak English. We need to understand English. We need to read English. We need to write English."" The teacher said, ""Don't worry. English isn't important anymore. My students never fail the interview. Can you say Yes in English? Can you say No in English? Then your English is good enough. You want to become a citizen. That is more important than your English."" Alex dropped out. He signed up for another citizenship class. The teacher spoke only English.","A1"
"Paula has cancer. She has six months to live. Her doctors cannot help her. No one can help her. She smoked cigarettes for 30 years. She did not want to stop smoking cigarettes. She liked to smoke cigarettes. The doctors told her to stop smoking many years ago. She didn't listen to them. She didn't listen to her parents. She didn't listen to her children. She didn't listen to her friends. Everyone told her to stop smoking. She told everyone to stop worrying about her. She would be fine, she told them. She still smokes every day. Why not, she asks.","A1"
"Hi Lisa. How are you? 
I'm fine. What are you doing?
I'm reading a book.
Really? All of it?
No. Just this part.
Who's that?
It's Mary. She has a dog.
Let's read it together.","A1"
"The woman had eight babies at one time. She was famous. Nobody could believe it. It was a world record. How could anyone have eight babies at one time? Her doctor had given her special drugs. The special drugs made her have eight babies. She was happy to have eight babies. ""I grew up all alone,"" she told the reporters. ""I did not like being alone. I decided that I would have many babies when I grew up. So now I have many babies. I am so happy. I am a lucky woman to have eight babies. I will love them all, and they will all love me.""","A1"
